isInterpolated,useMicroData,CountryCode,CountryName,RegionCode,CoverageType,RequestYear,DataYear,DataType,PPP,PovertyLine,Mean,HeadCount,PovGap,PovGapSqr,Watts,Gini,Median,pr.mld,Polarization,ReqYearPopulation,SvyInfoID,Decile1,Decile2,Decile3,Decile4,Decile5,Decile6,Decile7,Decile8,Decile9,Decile10
1,1,BDI,Burundi,SSA,N,2013,,X,487.3273,1.9,51.62472,0.740566,0.3257971,0.1767943,0.4920783,-1,-1,-1,-1,9.600186,BDI_N2006X,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,CPV,Cabo Verde,SSA,N,2013,2007.33,X,47.56514,1.9,252.9875,0.07113413,0.01618685,0.005927045,0.02077907,0.4718739,163.3424,0.3790471,-1,0.520106,CPV_N2007X,0.01955,0.03023,0.03872,0.04873,0.05915,0.07129,0.0871,0.1126,0.1613,0.3714
1,1,CMR,Cameroon,SSA,N,2013,,X,230.3753,1.9,147.0658,0.2662849,0.08581793,0.03838434,0.1178823,-1,-1,-1,-1,21.655715,CMR_N2007X,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,CAN,Canada,OHI,N,2013,2013,Y,1.284584,1.9,1745.129,0.003339967,0.001684354,0.000849424,0.002343954,0.3401774,1477.01,0.2138714,-1,35.155451,CAN_N2013Y,0.02363,0.04227,0.05599,0.06749,0.07867,0.09141,0.1068,0.1262,0.1547,0.2529
0,1,CAF,Central African Republic,SSA,N,2013,2008,X,267.8691,1.9,50.79454,0.7933779,0.4559966,0.3084166,0.8343314,0.5623661,28.00115,0.570637,-1,4.499653,CAF_N2008X,0.01208,0.02125,0.03019,0.03972,0.05006,0.06113,0.07647,0.1006,0.1463,0.4622
0,1,TCD,Chad,SSA,N,2013,2011,X,251.2962,1.9,105.6799,0.3490476,0.1364457,0.07129674,0.2031595,0.4332121,78.6686,0.331302,-1,13.133589,TCD_N2011X,0.01781,0.0308,0.04246,0.05462,0.06719,0.08076,0.09659,0.1217,0.1637,0.3244
0,1,CHL,Chile,LAC,N,2013,2013,Y,391.6442,1.9,616.8069,0.009166148,0.004662641,0.003494024,0.004691823,0.4726349,400.3901,0.4032615,-1,17.462982,CHL_N2013Y,0.01886,0.03182,0.04069,0.04954,0.05934,0.07072,0.08548,0.107,0.1524,0.3841
0,0,CHN,China,EAP,A,2013,2013,X,3.696112,1.9,287.6973,0.0185431,0.003519652,0.001328121,0.004243036,-1,-1,-1,-1,1357.38,CHN_R2013X,0,0,0,0,0,0,0,0,0,0
0,0,CHN,China,EAP,R,2013,2013,X,3.696112,1.9,190.4051,0.03376477,0.005852476,0.00186714,0.007439364,0.3397101,154.4069,0.1911082,0.2847125,635.6882016,CHN_R2013X,0.03254,0.04431,0.0549,0.0651,0.07558,0.08711,0.1009,0.1194,0.1502,0.27
0,0,CHN,China,EAP,U,2013,2013,X,3.696112,1.9,373.3952,0.005135383,0.001464829,0.000853337,0.001427611,0.3668623,296.1593,0.2263235,0.3148823,721.6917984,CHN_U2013X,0.02759,0.03993,0.05117,0.06208,0.07336,0.08583,0.1008,0.1209,0.1545,0.2839
